

gen best mean std
0 0.632911 0.022749 0.166916
1 0.632911 0.099278 0.169459
2 0.632911 0.162587 0.192953
3 0.632911 0.22565 0.178921
4 0.632911 0.236542 0.188096
5 0.769231 0.26612 0.199674
6 0.769231 0.332198 0.198938
7 0.769231 0.330404 0.191664
8 0.769231 0.347232 0.221837
9 0.769231 0.38989 0.20685
10 0.769231 0.375444 0.224717
11 0.775194 0.388165 0.209192
12 0.775194 0.378765 0.21738
13 0.769231 0.386938 0.205913
14 0.769231 0.387954 0.182459
15 0.769231 0.378806 0.186452
16 0.769231 0.392685 0.187658
17 0.769231 0.406267 0.198014
18 0.769231 0.408376 0.208154
19 0.769231 0.437329 0.196524
