

gen best mean std
0 0.507614 0.011292 0.17635
1 0.408163 0.084373 0.158916
2 0.458716 0.175188 0.143886
3 0.740741 0.242983 0.1616
4 0.740741 0.234917 0.187121
5 0.740741 0.277454 0.171142
6 0.740741 0.312988 0.148802
7 0.740741 0.336352 0.154933
8 0.740741 0.347972 0.15474
9 0.740741 0.346261 0.150323
10 0.714286 0.37602 0.139852
11 0.714286 0.38416 0.133122
12 0.714286 0.36744 0.159431
13 0.714286 0.356595 0.153013
14 0.763359 0.359543 0.168723
15 0.763359 0.380789 0.155442
16 0.763359 0.377467 0.168942
17 0.763359 0.356258 0.17942
18 0.763359 0.364785 0.199529
19 0.724638 0.388528 0.176896
