

gen best mean std
0 0.384615 0.044953 0.175035
1 0.568182 0.165178 0.148572
2 0.568182 0.269843 0.13441
3 0.568182 0.310645 0.119303
4 0.568182 0.337921 0.115472
5 0.568182 0.374664 0.073229
6 0.578035 0.378159 0.064469
7 0.578035 0.371294 0.078801
8 0.568182 0.36228 0.082108
9 0.420168 0.370638 0.018428
10 0.403226 0.366372 0.038897
11 0.403226 0.363253 0.057754
12 0.444444 0.372734 0.029905
13 0.529101 0.379609 0.042293
14 0.529101 0.380603 0.033583
15 0.529101 0.379115 0.02841
16 0.444444 0.374967 0.055834
17 0.5 0.376809 0.051958
18 0.50505 0.390613 0.040222
19 0.578035 0.393128 0.051936
