

gen best mean std
0 -0.121212 -0.417645 0.292595
1 0.1 -0.250689 0.090741
2 0.1 -0.197542 0.063461
3 0.1 -0.183967 0.053887
4 0.1 -0.175578 0.063315
5 0.1 -0.180423 0.053415
6 0.1 -0.165212 0.075867
7 0.1 -0.149998 0.090942
8 0.1 -0.135967 0.103402
9 0.1 -0.134292 0.10484
10 0.1 -0.127687 0.112784
11 0.1 -0.142576 0.112455
12 0.1 -0.127758 0.117834
13 0.1 -0.098677 0.129717
14 0.1 -0.104596 0.125119
15 0.1 -0.09661 0.122768
doomsday
16 0.1 -0.192285 0.267727
17 0.1 -0.140504 0.10331
18 0.1 -0.131092 0.103014
19 0.1 -0.105903 0.122415
