

gen best mean std
0 0.373134 0.063662 0.164178
1 0.478469 0.162325 0.134347
2 0.606061 0.28566 0.129618
3 0.606061 0.331299 0.094484
4 0.531915 0.354242 0.067446
5 0.416667 0.363842 0.027902
6 0.438596 0.366719 0.043894
7 0.438596 0.376976 0.017518
8 0.50505 0.375093 0.028406
9 0.480769 0.377571 0.030962
10 0.480769 0.378355 0.048858
11 0.480769 0.38098 0.042229
12 0.480769 0.382847 0.052228
13 0.625 0.382529 0.077978
14 0.526316 0.394603 0.051164
15 0.526316 0.398626 0.037664
16 0.526316 0.391222 0.064071
17 0.526316 0.394445 0.059022
18 0.526316 0.388316 0.077462
19 0.526316 0.404567 0.058791
