

gen best mean std
0 0.507614 0.026428 0.172753
1 0.507614 0.130343 0.144244
2 0.507614 0.17485 0.158388
3 0.507614 0.233124 0.158449
4 0.51282 0.263766 0.161028
5 0.636943 0.298096 0.16071
6 0.636943 0.324571 0.148423
7 0.719424 0.350542 0.143481
8 0.719424 0.361197 0.148727
9 0.689655 0.380448 0.140824
10 0.719424 0.378166 0.140588
11 0.719424 0.387985 0.159438
12 0.719424 0.383502 0.170729
13 0.719424 0.383014 0.194731
14 0.719424 0.356656 0.197374
15 0.719424 0.358219 0.193882
16 0.719424 0.373381 0.200513
17 0.719424 0.370786 0.186688
18 0.719424 0.404716 0.172988
19 0.719424 0.382792 0.197663
