

gen best mean std
0 0.395257 -0.351366 0.227484
1 0.387597 -0.228903 0.276407
2 0.389105 -0.025018 0.305567
3 0.408163 0.111254 0.287328
4 0.409836 0.242893 0.191855
5 0.408163 0.276484 0.123809
6 0.408163 0.277807 0.130871
7 0.408163 0.289368 0.112823
8 0.416667 0.264958 0.157909
9 0.416667 0.267773 0.156616
10 0.416667 0.273325 0.143054
11 0.416667 0.236536 0.206248
12 0.416667 0.24659 0.191192
13 0.416667 0.254981 0.189353
14 0.440529 0.26763 0.161392
15 0.440529 0.290142 0.130801
16 0.440529 0.275062 0.155975
17 0.440529 0.286002 0.136924
18 0.440529 0.26784 0.177476
19 0.440529 0.274938 0.146333
