

gen best mean std
0 0.389105 -0.368364 0.204193
1 0.309598 -0.233563 0.240394
2 0.309598 -0.128539 0.261598
3 0.309598 0.030656 0.267184
4 0.309598 0.116209 0.243903
5 0.398406 0.156127 0.248975
6 0.401606 0.233811 0.19317
7 0.401606 0.24768 0.169002
8 0.4 0.291685 0.097723
9 0.409836 0.273251 0.140999
10 0.409836 0.279273 0.146623
11 0.409836 0.287222 0.135095
12 0.409836 0.304831 0.090167
13 0.409836 0.295792 0.106966
14 0.409836 0.272767 0.14371
15 0.409836 0.271683 0.157334
16 0.409836 0.28284 0.123711
17 0.409836 0.295362 0.103934
18 0.409836 0.287818 0.120938
19 0.409836 0.293995 0.125089
