

gen best mean std
0 -0.183824 -0.402116 0.311091
1 -0.183824 -0.226205 0.049062
2 -0.183824 -0.196437 0.02984
3 -0.183824 -0.190304 0.006818
4 -0.183824 -0.189929 0.008018
5 -0.183824 -0.188944 0.001867
6 -0.183824 -0.188717 0.001951
7 -0.185874 -0.191099 0.014057
8 -0.185874 -0.189322 0.011001
9 -0.185185 -0.188514 0.010876
10 -0.185185 -0.191364 0.021138
11 -0.184843 -0.186466 0.00113
12 -0.184843 -0.194243 0.02752
13 -0.184843 -0.191079 0.019109
14 -0.184843 -0.190208 0.01852
15 -0.184843 -0.189302 0.01549
16 -0.184843 -0.188369 0.01184
17 -0.184843 -0.187606 0.011165
18 -0.184843 -0.190298 0.018795
19 -0.106157 -0.189775 0.02083
