

gen best mean std
0 0.507614 0.043395 0.161801
1 0.44843 0.113252 0.138002
2 0.543478 0.169138 0.156606
3 0.515464 0.231791 0.165049
4 0.515464 0.273899 0.160603
5 0.574713 0.339248 0.142489
6 0.574713 0.358628 0.132308
7 0.70922 0.371756 0.137349
8 0.689655 0.387701 0.13931
9 0.689655 0.408885 0.118651
10 0.636943 0.397311 0.111921
11 0.704225 0.393266 0.114559
12 0.657895 0.395594 0.133393
13 0.657895 0.40327 0.13185
14 0.763359 0.407222 0.133922
15 0.763359 0.398456 0.142259
16 0.657895 0.402228 0.121332
17 0.657895 0.386666 0.14445
18 0.657895 0.394821 0.130258
19 0.689655 0.411269 0.126276
