

gen best mean std
0 0.373134 0.039823 0.141282
1 0.373134 0.158004 0.120701
2 0.41841 0.239313 0.129446
3 0.41841 0.330346 0.075763
4 0.41841 0.354955 0.043879
5 0.41841 0.36459 0.033043
6 0.41841 0.367363 0.034474
7 0.41841 0.368437 0.035839
8 0.41841 0.35604 0.064754
9 0.581395 0.384001 0.048822
10 0.581395 0.384267 0.051979
11 0.581395 0.384767 0.062369
12 0.588235 0.382222 0.067372
13 0.588235 0.394777 0.064829
14 0.581395 0.371275 0.099939
15 0.581395 0.370121 0.101072
16 0.581395 0.377478 0.096788
17 0.581395 0.38928 0.092093
18 0.581395 0.384416 0.101213
19 0.581395 0.395078 0.093241
