

gen best mean std
0 -0.105597 -0.402787 0.383436
1 -0.133333 -0.287677 0.11896
2 -0.133333 -0.287953 0.175992
3 -0.137931 -0.297923 0.213108
4 -0.130378 -0.287422 0.196289
5 -0.130378 -0.287804 0.202351
6 -0.111732 -0.266536 0.142308
7 -0.121359 -0.253779 0.144053
8 -0.121359 -0.24388 0.106042
9 -0.130378 -0.242144 0.1275
10 -0.130378 -0.235218 0.104757
11 0.116959 -0.247921 0.11116
12 -0.121212 -0.273896 0.18924
13 -0.121212 -0.267694 0.189274
14 -0.12987 -0.257617 0.137823
15 -0.101112 -0.226551 0.073815
16 -0.101112 -0.223748 0.070154
17 -0.101112 -0.256231 0.224504
18 -0.106383 -0.223276 0.077284
19 -0.106383 -0.246043 0.141308

gen best mean std
19 -0.106383 -0.246043 0.141308
