

gen best mean std
0 0.363636 -0.482388 0.466504
1 -0.154321 -0.36875 0.269727
2 -0.150602 -0.290119 0.114248
3 -0.112867 -0.294512 0.139736
4 -0.112867 -0.270497 0.088342
5 -0.112867 -0.275196 0.144365
6 -0.101317 -0.260348 0.112438
7 -0.101317 -0.260825 0.158769
8 -0.11274 -0.262308 0.170147
9 -0.112867 -0.235214 0.075434
10 -0.112867 -0.233021 0.076956
11 -0.101317 -0.232264 0.086483
12 -0.101317 -0.265676 0.170607
13 -0.112867 -0.244638 0.106398
14 -0.112867 -0.258407 0.16039
doomsday
15 -0.101317 -0.262215 0.212376
16 -0.101317 -0.242515 0.145988
17 -0.112867 -0.292137 0.258486
18 -0.105485 -0.265546 0.19764
19 -0.105485 -0.22411 0.081911
