

gen best mean std
0 0.389105 -0.336604 0.239757
1 0.389105 -0.14404 0.281632
2 0.389105 0.048518 0.282713
3 0.389105 0.13645 0.266459
4 0.389105 0.195382 0.226631
5 0.389105 0.241023 0.177315
6 0.389105 0.240685 0.179895
7 0.389105 0.259517 0.150369
8 0.389105 0.214045 0.208083
9 0.389105 0.250205 0.171871
10 0.389105 0.238305 0.190703
11 0.389105 0.240608 0.186697
12 0.389105 0.264551 0.143505
13 0.389105 0.258026 0.166343
14 0.398406 0.235073 0.191303
15 0.409836 0.256688 0.160365
16 0.409836 0.268561 0.143731
17 0.409836 0.263182 0.155317
18 0.409836 0.259819 0.169995
19 0.409836 0.255285 0.170604
