

gen best mean std
0 0.373134 0.042813 0.152439
1 0.373134 0.118646 0.105121
2 0.497512 0.180569 0.116493
3 0.4329 0.249797 0.118516
4 0.578035 0.327212 0.084701
5 0.578035 0.373224 0.030125
6 0.632911 0.380394 0.078716
7 0.632911 0.385091 0.046977
8 0.632911 0.393351 0.059194
9 0.632911 0.378463 0.059156
10 0.632911 0.382588 0.03767
11 0.632911 0.37894 0.073411
12 0.632911 0.384967 0.046816
13 0.495049 0.375222 0.03427
14 0.526316 0.381367 0.029238
15 0.526316 0.385822 0.035645
16 0.584795 0.385406 0.042359
17 0.584795 0.388968 0.04887
18 0.584795 0.39054 0.062427
19 0.584795 0.405505 0.065878
