

gen best mean std
0 0.507614 0.013855 0.181886
1 0.507614 0.089241 0.183676
2 0.507614 0.148516 0.16607
3 0.507614 0.19907 0.178767
4 0.543478 0.284263 0.178005
5 0.543478 0.304026 0.156457
6 0.645161 0.335796 0.147081
7 0.645161 0.340691 0.162321
8 0.645161 0.350248 0.149936
9 0.662252 0.348306 0.167238
10 0.662252 0.356074 0.154088
11 0.653595 0.367984 0.144074
12 0.653595 0.373014 0.147208
13 0.653595 0.360952 0.151341
14 0.70922 0.368191 0.152687
15 0.70922 0.41125 0.129243
16 0.70922 0.399082 0.139013
17 0.70922 0.411649 0.14766
18 0.70922 0.393878 0.144398
19 0.70922 0.418225 0.141372
