

gen best mean std
0 0.44843 0.032815 0.17903
1 0.465116 0.133793 0.164184
2 0.507614 0.217385 0.172755
3 0.598802 0.27577 0.173289
4 0.598802 0.301281 0.174847
5 0.598802 0.342195 0.156953
6 0.598802 0.359528 0.147708
7 0.598802 0.40677 0.121291
8 0.598802 0.409856 0.122448
9 0.763359 0.414626 0.127434
10 0.653595 0.387883 0.140148
11 0.653595 0.386321 0.133139
12 0.653595 0.400706 0.119166
13 0.689655 0.378558 0.140437
14 0.689655 0.393066 0.1409
15 0.689655 0.384095 0.150436
16 0.70922 0.390162 0.142609
17 0.70922 0.369089 0.162447
18 0.719424 0.378683 0.172468
19 0.719424 0.402097 0.168906
