

gen best mean std
0 0.374532 0.044348 0.165296
1 0.374532 0.156589 0.096818
2 0.574713 0.209928 0.11595
3 0.574713 0.282559 0.103601
4 0.574713 0.336896 0.070464
5 0.578035 0.367277 0.045538
6 0.574713 0.379537 0.047149
7 0.529101 0.377474 0.041122
8 0.529101 0.379554 0.043787
9 0.529101 0.385208 0.036026
10 0.699301 0.398251 0.070877
11 0.699301 0.41884 0.086689
12 0.699301 0.417029 0.089577
13 0.684931 0.438865 0.101393
14 0.684931 0.45528 0.104796
15 0.684931 0.494479 0.113687
16 0.684931 0.494255 0.111535
17 0.684931 0.49141 0.111344
18 0.684931 0.496919 0.104324
19 0.684931 0.500745 0.113843
