

gen best mean std
0 0.409836 -0.384481 0.22194
1 0.409836 -0.210103 0.301964
2 0.409836 -0.017602 0.309131
3 0.409836 0.0778 0.291069
4 0.409836 0.19557 0.227649
5 0.409836 0.18295 0.234723
6 0.409836 0.198681 0.219741
7 0.409836 0.25192 0.158276
8 0.409836 0.223565 0.196079
9 0.409836 0.240414 0.191056
10 0.409836 0.226742 0.215903
11 0.409836 0.250744 0.18675
12 0.409836 0.284087 0.139457
13 0.409836 0.274652 0.153043
14 0.409836 0.263499 0.185295
doomsday
15 0.409836 0.176829 0.308638
16 0.409836 0.249712 0.211071
17 0.409836 0.29797 0.122967
18 0.440529 0.284378 0.148437
19 0.44843 0.280087 0.156604
