

gen best mean std
0 0.37594 0.048998 0.169224
1 0.37594 0.146359 0.107008
2 0.398406 0.193273 0.120189
3 0.398406 0.235384 0.129937
4 0.409836 0.298361 0.110992
5 0.409836 0.351333 0.065621
6 0.469484 0.364582 0.050536
7 0.671141 0.380113 0.063079
8 0.671141 0.395092 0.071154
9 0.671141 0.39285 0.102168
10 0.671141 0.404617 0.099137
11 0.671141 0.402967 0.091379
12 0.671141 0.420026 0.110977
13 0.671141 0.418101 0.099642
14 0.671141 0.412163 0.101437
15 0.671141 0.406652 0.090398
16 0.671141 0.406513 0.092034
17 0.671141 0.412612 0.081834
18 0.671141 0.4058 0.075105
19 0.671141 0.410196 0.080037
