

gen best mean std
0 0.30581 -0.37233 0.179458
1 0.416667 -0.211918 0.255679
2 0.416667 -0.052535 0.287197
3 0.401606 0.103658 0.266051
4 0.440529 0.203931 0.218031
5 0.440529 0.276521 0.145523
6 0.440529 0.285071 0.142187
7 0.543478 0.294801 0.14191
8 0.440529 0.257178 0.188222
9 0.440529 0.266625 0.167833
10 0.440529 0.278232 0.162108
11 0.440529 0.285528 0.146977
12 0.440529 0.300331 0.151722
13 0.440529 0.315433 0.129999
14 0.584795 0.313669 0.131067
15 0.584795 0.331572 0.115808
16 0.584795 0.298505 0.175714
17 0.584795 0.319855 0.164981
18 0.584795 0.339029 0.122741
19 0.584795 0.320762 0.166863
