

gen best mean std
0 0.252525 -0.408371 0.136089
1 0.290698 -0.345242 0.150032
2 0.302115 -0.248822 0.21332
3 0.307692 -0.137921 0.256587
4 0.307692 -0.073277 0.265721
5 0.330033 0.007689 0.258029
6 0.330033 0.044305 0.262335
7 0.330033 0.158272 0.226353
8 0.330033 0.212932 0.182347
9 0.330033 0.188195 0.212031
10 0.387597 0.219942 0.195535
11 0.387597 0.230703 0.18582
12 0.387597 0.223258 0.20085
13 0.389105 0.218195 0.203659
14 0.390625 0.256153 0.164287
15 0.390625 0.230188 0.187888
16 0.390625 0.19798 0.225273
17 0.390625 0.213827 0.203734
18 0.390625 0.234445 0.183732
19 0.390625 0.246576 0.170364
