

gen best mean std
0 -0.178253 -0.389902 0.27441
1 0.201613 -0.264357 0.137971
2 -0.133511 -0.217897 0.046379
3 0.1 -0.190229 0.036694
4 0.1 -0.188471 0.033374
5 0.1 -0.18382 0.041112
6 0.1 -0.170808 0.069025
7 0.1 -0.183291 0.040841
8 0.1 -0.182007 0.051009
9 0.1 -0.178964 0.050436
10 0.1 -0.182837 0.043123
11 0.1 -0.181814 0.045472
12 0.192678 -0.180574 0.054215
13 0.192678 -0.185407 0.062504
14 0.1 -0.179942 0.044233
15 0.1 -0.179622 0.072711
doomsday
16 0.1 -0.197157 0.132463
17 0.1 -0.165313 0.072987
18 0.1 -0.157789 0.060807
19 0.1 -0.144618 0.049674
