

gen best mean std
0 0.373134 0.055483 0.158322
1 0.465116 0.166031 0.132678
2 0.395257 0.233743 0.121786
3 0.395257 0.283994 0.108314
4 0.440529 0.326052 0.077936
5 0.495049 0.359122 0.037197
6 0.495049 0.373511 0.041162
7 0.495049 0.387433 0.035511
8 0.497512 0.39014 0.046844
9 0.497512 0.380371 0.075792
10 0.543478 0.375869 0.06173
11 0.495049 0.377964 0.050633
12 0.495049 0.374891 0.053682
13 0.442478 0.373677 0.038282
14 0.442478 0.376417 0.043971
15 0.442478 0.379244 0.026838
16 0.442478 0.381618 0.025337
17 0.442478 0.382361 0.025107
18 0.442478 0.382652 0.037578
19 0.546448 0.378351 0.050895
