

gen best mean std
0 0.290698 -0.385427 0.166797
1 0.343643 -0.22393 0.23392
2 0.343643 -0.084008 0.267405
3 0.343643 0.039532 0.270877
4 0.343643 0.104857 0.256857
5 0.390625 0.16059 0.238104
6 0.390625 0.177087 0.226582
7 0.416667 0.188675 0.224888
8 0.416667 0.243194 0.177454
9 0.396825 0.261775 0.151271
10 0.396825 0.248786 0.183316
11 0.409836 0.257582 0.162015
12 0.409836 0.259127 0.168538
13 0.409836 0.236566 0.187458
14 0.409836 0.238063 0.188674
15 0.409836 0.21896 0.221151
16 0.409836 0.217149 0.214236
17 0.409836 0.226491 0.199478
18 0.409836 0.258137 0.170036
19 0.409836 0.253388 0.179664
