

gen best mean std
0 0.373134 0.011104 0.166052
1 0.373134 0.124412 0.134013
2 0.373134 0.250137 0.12503
3 0.515464 0.32192 0.088601
4 0.515464 0.357459 0.056079
5 0.515464 0.372396 0.026513
6 0.555556 0.380206 0.032831
7 0.555556 0.379838 0.038778
8 0.555556 0.379622 0.032247
9 0.613497 0.382169 0.034524
10 0.613497 0.380497 0.049593
11 0.680272 0.385809 0.055648
12 0.680272 0.396089 0.067727
13 0.680272 0.402228 0.068203
14 0.680272 0.396321 0.048134
15 0.680272 0.399866 0.052265
16 0.549451 0.400319 0.044565
17 0.662252 0.404822 0.062922
18 0.662252 0.41836 0.071356
19 0.680272 0.425551 0.084016
