

gen best mean std
0 -0.187617 -0.418959 0.324089
1 0.197239 -0.242524 0.081706
2 -0.186916 -0.201581 0.030524
3 -0.185185 -0.192728 0.014965
4 -0.185185 -0.192337 0.014653
5 -0.185185 -0.191048 0.010414
6 -0.185185 -0.190967 0.010436
7 -0.185185 -0.18995 0.001332
8 -0.185185 -0.191029 0.01102
9 -0.185185 -0.190694 0.010952
10 -0.184162 -0.189125 0.001641
11 -0.185185 -0.189895 0.010614
12 -0.186567 -0.188523 0.001664
13 -0.186567 -0.188323 0.001786
14 0.201207 -0.181496 0.055689
15 0.201207 -0.18396 0.038742
16 0.201207 -0.18126 0.05569
17 0.201207 -0.181611 0.055802
18 0.201207 -0.17613 0.066377
19 0.201207 -0.176061 0.066362
