

gen best mean std
0 -0.106157 -0.441453 0.35134
1 -0.106157 -0.229837 0.063755
2 -0.106157 -0.203528 0.036637
3 -0.106157 -0.190003 0.014571
4 -0.106157 -0.188624 0.010173
5 -0.172117 -0.189385 0.002916
6 -0.122249 -0.189024 0.017208
7 -0.122249 -0.19196 0.022519
8 -0.122249 -0.190086 0.020492
9 -0.128205 -0.18864 0.013471
10 -0.128205 -0.185947 0.017182
11 -0.128205 -0.18613 0.015964
12 -0.133511 -0.187832 0.021796
13 -0.11976 -0.183038 0.019691
14 -0.120773 -0.186389 0.02924
doomsday
15 -0.10627 -0.24146 0.209681
16 -0.10627 -0.200158 0.112846
17 -0.10627 -0.178368 0.031028
18 -0.105932 -0.170805 0.030522
19 -0.10582 -0.159479 0.033417
