

gen best mean std
0 -0.15456 -0.495662 0.458145
1 -0.127714 -0.327849 0.203691
2 -0.127714 -0.322022 0.218498
3 -0.127714 -0.302876 0.178379
4 -0.127714 -0.275319 0.135487
5 -0.100806 -0.278876 0.200499
6 -0.100806 -0.255292 0.140075
7 -0.100806 -0.247992 0.140768
8 -0.100806 -0.238741 0.122933
9 -0.100806 -0.244834 0.089091
10 -0.100806 -0.235613 0.089948
11 -0.100806 -0.225615 0.081504
12 -0.100806 -0.237963 0.160143
13 -0.100806 -0.226771 0.136773
14 -0.100806 -0.214374 0.07303
15 -0.100806 -0.219665 0.086634
16 -0.100806 -0.229829 0.115806
17 0.1 -0.220426 0.134085
18 0.1 -0.222103 0.13145
19 0.1 -0.227072 0.174134

gen best mean std
19 0.100000 -0.227072 0.174134
