

gen best mean std
0 0.332226 -0.342731 0.194641
1 0.332226 -0.203173 0.255881
2 0.332226 -0.03979 0.28635
3 0.332226 0.064488 0.278141
4 0.332226 0.164465 0.232405
5 0.332226 0.224351 0.181801
6 0.332226 0.244708 0.158086
7 0.401606 0.263428 0.132484
8 0.401606 0.265192 0.129478
9 0.401606 0.235874 0.181683
10 0.401606 0.257367 0.167697
11 0.401606 0.258145 0.153218
12 0.401606 0.252143 0.163901
13 0.401606 0.258648 0.165253
14 0.401606 0.270674 0.134918
15 0.401606 0.255669 0.152471
16 0.401606 0.263344 0.146509
17 0.401606 0.251433 0.163906
18 0.401606 0.238263 0.191165
19 0.401606 0.269932 0.151807
