

gen best mean std
0 0.44843 0.032028 0.185113
1 0.411523 0.135729 0.145173
2 0.507614 0.182715 0.143989
3 0.507614 0.217602 0.142842
4 0.543478 0.273859 0.151262
5 0.543478 0.315587 0.146683
6 0.543478 0.330424 0.137883
7 0.578035 0.349143 0.14347
8 0.641026 0.350772 0.144892
9 0.641026 0.364868 0.144991
10 0.641026 0.373336 0.150272
11 0.699301 0.382534 0.14634
12 0.699301 0.363641 0.150899
13 0.641026 0.368836 0.159038
14 0.641026 0.365887 0.152459
15 0.641026 0.360605 0.148832
16 0.641026 0.352719 0.174144
17 0.641026 0.380325 0.153422
18 0.641026 0.373468 0.184913
19 0.657895 0.388608 0.15599
