

gen best mean std
0 -0.187266 -0.519383 0.396655
1 -0.187617 -0.269976 0.175186
2 -0.183486 -0.202618 0.033315
3 -0.183486 -0.195565 0.021887
4 -0.178253 -0.191048 0.008849
5 -0.183486 -0.191462 0.011534
6 -0.183486 -0.189943 0.001017
7 -0.185529 -0.190968 0.010489
8 -0.187266 -0.190249 0.001515
9 -0.185529 -0.190936 0.010495
10 -0.185529 -0.189775 0.000859
11 -0.18315 -0.190285 0.004459
12 -0.18315 -0.189704 0.001249
13 -0.170648 -0.189 0.003514
14 -0.170648 -0.18905 0.004019
15 -0.106045 -0.187766 0.016657
16 -0.106045 -0.186665 0.009959
17 -0.149701 -0.18801 0.012665
18 -0.143885 -0.187717 0.01103
19 -0.142857 -0.183396 0.010824
