

gen best mean std
0 -0.155763 -0.548166 0.548582
1 -0.155039 -0.353361 0.236092
2 -0.155039 -0.345265 0.268582
3 -0.154321 -0.342465 0.253284
4 -0.152439 -0.300927 0.187701
5 -0.152439 -0.285556 0.134915
6 -0.146628 -0.274412 0.16504
7 -0.146628 -0.258992 0.136406
8 -0.112867 -0.287811 0.22835
9 -0.106157 -0.248648 0.108871
10 0.1 -0.252399 0.155269
11 0.1 -0.256968 0.128207
12 0.1 -0.236452 0.118417
13 -0.112867 -0.233059 0.107604
14 0.207039 -0.226443 0.12398
15 0.207039 -0.211745 0.13077
16 0.207039 -0.236086 0.213716
17 0.207039 -0.206013 0.170428
18 0.207039 -0.214555 0.208104
19 0.207039 -0.214067 0.202711

gen best mean std
19 0.207039 -0.214067 0.202711
