

gen best mean std
0 -0.152439 -0.395769 0.327638
1 -0.153139 -0.35325 0.252699
2 -0.112994 -0.28494 0.085646
3 0.1 -0.284024 0.17238
4 0.1 -0.276058 0.141268
5 0.1 -0.240033 0.096175
6 0.1 -0.252399 0.175714
7 0.1 -0.282936 0.225212
8 0.1 -0.28577 0.21745
9 0.196078 -0.220597 0.108759
10 0.201207 -0.230552 0.164972
11 0.196078 -0.22561 0.177271
12 0.196078 -0.221995 0.218201
13 0.196078 -0.21844 0.192867
14 0.196078 -0.211092 0.143987
15 0.196078 -0.225775 0.150557
16 0.201207 -0.21385 0.133607
17 0.201207 -0.205752 0.144761
18 0.201207 -0.186045 0.169938
19 0.201207 -0.197017 0.177117
