

gen best mean std
0 -0.155763 -0.536707 0.522056
1 -0.154321 -0.359525 0.251305
2 -0.154321 -0.31466 0.216271
3 -0.154321 -0.262099 0.072963
4 -0.154321 -0.263521 0.123007
5 -0.130719 -0.245491 0.073329
6 -0.106157 -0.237887 0.074641
7 -0.115075 -0.232205 0.069833
8 -0.130719 -0.234939 0.090062
9 -0.130719 -0.21865 0.073205
10 -0.106157 -0.224609 0.073695
11 -0.106157 -0.225907 0.077794
12 -0.106157 -0.213839 0.070033
13 -0.106157 -0.217122 0.080236
14 -0.106157 -0.20649 0.067043
15 -0.106157 -0.202275 0.063924
16 -0.106157 -0.229686 0.107021
17 -0.106157 -0.236054 0.107872
18 -0.106157 -0.252748 0.125321
19 -0.106157 -0.240168 0.085514
