

gen best mean std
0 -0.170068 -0.372556 0.259399
1 -0.188679 -0.241425 0.064281
2 -0.188679 -0.203999 0.033961
3 -0.185874 -0.192353 0.014633
4 -0.185874 -0.190792 0.007262
5 -0.185874 -0.191222 0.011456
6 -0.171233 -0.189569 0.002064
7 -0.10582 -0.191734 0.024644
8 -0.10582 -0.188164 0.009348
9 -0.10582 -0.192129 0.030144
10 -0.130378 -0.188698 0.012351
11 -0.130378 -0.193232 0.027809
12 -0.130378 -0.188714 0.016756
13 -0.138313 -0.192844 0.027381
14 -0.133869 -0.193267 0.02939
15 0.1 -0.190542 0.040396
16 -0.133869 -0.19008 0.023594
17 -0.107875 -0.185054 0.017792
18 0.1 -0.1793 0.045179
19 0.133511 -0.163136 0.069666
