

gen best mean std
0 -0.15528 -0.504649 0.50165
1 -0.155763 -0.322036 0.210885
2 -0.154321 -0.294617 0.192821
3 -0.154321 -0.268142 0.10641
4 -0.154083 -0.256212 0.106935
5 -0.154321 -0.248863 0.073008
6 0.1 -0.226943 0.086508
7 0.1 -0.221159 0.077631
8 0.1 -0.230614 0.141126
9 -0.108342 -0.228501 0.135172
10 -0.108342 -0.233959 0.07913
11 -0.108342 -0.255842 0.182756
12 -0.108342 -0.228004 0.080848
13 -0.108342 -0.221272 0.071068
14 0.1 -0.250722 0.202331
15 0.1 -0.216432 0.094949
16 0.1 -0.216672 0.146663
17 0.1 -0.225076 0.1555
18 0.1 -0.23196 0.156288
19 0.1 -0.212082 0.092646
