

gen best mean std
0 -0.155763 -0.566732 0.517339
1 -0.155763 -0.416097 0.327203
2 -0.155763 -0.320186 0.188955
3 -0.154321 -0.285983 0.139386
4 -0.141443 -0.255345 0.074649
5 -0.111111 -0.244761 0.079493
6 -0.123916 -0.253479 0.148031
7 -0.123916 -0.242294 0.083343
8 -0.123916 -0.270802 0.223392
9 -0.123916 -0.240246 0.086383
10 -0.123916 -0.265629 0.172446
11 -0.123916 -0.266614 0.16603
12 0.294118 -0.2226 0.104745
13 0.294118 -0.234487 0.121785
14 0.294118 -0.236209 0.13768
15 0.294118 -0.215004 0.131151
16 0.294118 -0.226423 0.179581
17 0.236407 -0.217643 0.149715
18 0.236407 -0.187961 0.15567
19 0.236407 -0.211255 0.214539
