

gen best mean std
0 0.617284 0.083426 0.177838
1 0.507614 0.127662 0.165808
2 0.507614 0.180805 0.162712
3 0.543478 0.234601 0.155179
4 0.543478 0.251935 0.178264
5 0.625 0.296529 0.155337
6 0.625 0.328832 0.149019
7 0.625 0.349113 0.130905
8 0.75188 0.355726 0.145408
9 0.75188 0.371727 0.172264
10 0.75188 0.37719 0.169151
11 0.763359 0.388616 0.178467
12 0.763359 0.380682 0.175107
13 0.763359 0.395992 0.172926
14 0.763359 0.408849 0.177111
15 0.763359 0.415488 0.167011
16 0.763359 0.427497 0.172555
17 0.763359 0.421113 0.173571
18 0.763359 0.41831 0.162503
19 0.763359 0.41364 0.160584
