

gen best mean std
0 0.392157 0.058468 0.175765
1 0.392157 0.190844 0.135923
2 0.392157 0.260429 0.120211
3 0.392157 0.336155 0.061443
4 0.45045 0.366701 0.028329
5 0.46729 0.369954 0.03849
6 0.46729 0.37646 0.025406
7 0.571429 0.375238 0.02977
8 0.571429 0.377266 0.03864
9 0.529101 0.386565 0.038623
10 0.529101 0.38745 0.045777
11 0.529101 0.392295 0.050749
12 0.625 0.397941 0.061375
13 0.578035 0.391464 0.065678
14 0.578035 0.397629 0.065091
15 0.529101 0.376804 0.093633
16 0.529101 0.395391 0.067645
17 0.578035 0.394456 0.063987
18 0.529101 0.391509 0.068322
19 0.625 0.409327 0.070858
