

gen best mean std
0 -0.105932 -0.451575 0.344157
1 0.201207 -0.268519 0.161836
2 0.201207 -0.194571 0.081668
3 0.201207 -0.185427 0.044349
4 -0.105932 -0.184052 0.016177
5 -0.105932 -0.18704 0.025477
6 -0.10582 -0.179886 0.023174
7 -0.10582 -0.178609 0.025525
8 -0.10582 -0.178256 0.029405
9 -0.10582 -0.174258 0.030555
10 -0.105597 -0.178738 0.033305
11 -0.105932 -0.181642 0.035667
12 -0.105932 -0.171148 0.032742
13 0.1 -0.168938 0.042954
14 -0.105932 -0.17117 0.03065
15 -0.105932 -0.168749 0.041923
doomsday
16 0.1 -0.19996 0.221079
17 -0.10582 -0.153717 0.052927
18 -0.10582 -0.151874 0.04808
19 -0.105708 -0.144896 0.048883
